variable_url,title,periodicity,description,keywords,license,dateCreated,dateModified,datePublished,creator_name,creator_contactType,creator_telephone,distribution_encodingFormat,distribution_contentUrl,periodicty
https://www.data.go.kr/data/15078455/fileData.do,전라남도 완도군_지방세 미환급 현황,,지방세 미환급의 유형별 미환급금 현황 및 연간 누적률을 제공하여 자치단체의 환급금 해소 노력을 확인할 수 있고 환급금 해소 노력에도 환급이 어려운 미환급금 확인 기초 자료로 활용,"미환급금,지방세환급,누적미환급",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-30,2021-04-01,2021-03-30,전라남도 완도군,자치행정국 세무회계과,0615505234,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002378154&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15078454/fileData.do,전라남도 완도군_지방세 납부 현황,,"신용카드,가상계좌,지로  등 지방세 납부매체별 납부현황으로 전자송달 시장 규모 및 편익 분석, 수수료 산정시 기초자료로 활용","지방세 납부,납부매체,가상계좌",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-30,2021-04-01,2021-03-30,전라남도 완도군,자치행정국 세무회계과,0615505234,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002378150&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15078453/fileData.do,전라남도 완도군_지방세 납세자 현황,,지방세 세목별 납세 인원 현황을 제공함으로써 관외 납세자에 대한 부과와 징수 정책 수립시 기초자료로 활용하고 관내 납세자의 세목별 확인,"지방세,납세자유형,납세자수",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-30,2021-04-01,2021-03-30,전라남도 완도군,자치행정국 세무회계과,0615505234,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002378145&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15078452/fileData.do,전라남도 완도군_지방세 징수 현황,,"지방세 부과액에 대한 세목별 징수 현황으로 지자체의 재정자주고,재정자립도를 산출하는 기초 및 납세 협력도 및 조세 순응도를 확인하는 자료로 활용","지방세 징수,결손,미수",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-30,2021-04-01,2021-03-30,전라남도 완도군,자치행정국 세무회계과,0615505234,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002378140&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15078594/fileData.do,전라남도 완도군_세원 유형별 과세 현황,,지방세 과세를 위해 세원이 되는 과세 대상의 유형별 부과된 현황으로 물건 유형에 따른 세부담 수준의 형평성 검토 및 부동산 등 관련분야 규제정책 대상 확인 시 기초자료로 활용,"세원유형,물건유형,세원종류",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-31,2021-04-01,2021-03-31,전라남도 완도군,자치행정국 세무회계과,0615505234,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002378130&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15078458/fileData.do,전라남도 완도군_지방세 체납 현황,,지방세 체납액과 규모별 체납 건수를 납세자 유형별로 제공하고 구간별로 체납액을  보려줌으로서 체납액 정리 정책 수립시 기초자료로 활용,"체납금액,체납규모,체납구간",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-04-01,2021-04-01,2021-04-01,전라남도 완도군,자치행정국 세무회계과,0615505234,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002378089&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15078648/fileData.do,전라남도 완도군_지방세 과세현황,,연도별 지방세 과세 및 비과세 현황을 세목별로 제공함으로 지방세 부과 규모 및 비과세로 받는 국민 조세 혜택 규모를 파악하는 데 사용,"과세,비과세,혜택",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-31,2021-04-01,2021-03-31,전라남도 완도군,자치행정국 세무회계과,0615505234,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002378084&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15078916/fileData.do,전라북도 장수군_지방세납세자현황,,"장수군 세목별 납세 인원 현황(자치단체코드, 과세년도, 세목명, 납세자유형, 관내/관외, 납세자수)에 대하여 데이터 제공","납세자,세목별,지방세",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-04-01,2021-04-01,2021-04-01,전라북도 장수군,행정지원과,0633502171,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002377975&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15078907/fileData.do,전라북도 장수군_1인당 지방세 부담액,,"1인당 또는 세대 당 부담된 지방세액 현황(과세년도, 주민1인당 부담금액, 세대당부담금액, 지방세 금액, 인구수, 세대수)에 대하여 설명","지방세,1인당,부담액",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-04-01,2021-04-01,2021-04-01,전라북도 장수군,행정지원과,0633502171,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002377970&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15069270/fileData.do,한국지역난방공사_열생산량 정보,,"한국지역난방공사에서 생산하는 열생산량 정보를 지역별, 월별로 표현한 자료입니다.(2016년분) 현재  API로 서비스를 제공하고 있으며 과거 및 실시간 데이터를 확인할 수 있습니다.","지역난방,열,생산량",https://data.go.kr/ugs/selectPortalPolicyView.do,2020-04-03,2021-04-01,2020-04-03,한국지역난방공사,정보시스템처 정보기획부,03180186345,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002312048&fileDetailSn=1&insertDataPrcus=N,수시 (1회성 데이터)
